,index,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
27,CA-527,304.0,291.0,267.0,300.0,288.0,125.0,124.0,133.0,138.0,218.88888888888889,218.88888888888889,218.88888888888889,218.88888888888889,218.88888888888889,218.88888888888889,218.88888888888889,218.88888888888889
28,CA-529,460.0,339.0,306.0,357.0,408.0,615.0,401.0,332.0,315.0,392.55555555555554,392.55555555555554,392.55555555555554,392.55555555555554,392.55555555555554,392.55555555555554,392.55555555555554,392.55555555555554
29,CA-530,88.0,140.0,58.0,184.0,214.0,157.0,121.0,130.0,53.0,127.22222222222223,127.22222222222223,127.22222222222223,127.22222222222223,127.22222222222223,127.22222222222223,127.22222222222223,127.22222222222223
30,CA-531,492.0,527.0,401.0,387.0,415.0,444.4,444.4,444.4,444.4,444.4,444.4,444.4,444.4,444.4,444.4,444.4,444.4
31,CA-600,71320.0,65111.0,17225.0,63706.0,56257.0,49955.0,52442.0,43854.0,41174.0,34393.0,35524.0,31553.0,34622.0,33243.0,33243.0,47862.0,47862.0
32,CA-601,10264.0,8427.0,4143.0,7638.0,8102.0,8576.0,9160.0,8669.0,8742.0,8506.0,8879.0,10013.0,9436.0,8383.0,7995.0,8455.0,7326.0
33,CA-602,6050.0,5718.0,2441.0,6978.0,6860.0,4955.0,4792.0,4319.0,4452.0,3833.0,4251.0,7010.0,6939.0,8333.0,8333.0,3649.0,3649.0
34,CA-603,1887.0,1962.0,500.0,1897.0,1803.0,1706.0,1860.0,1813.0,1729.0,1832.0,1882.0,1546.0,1698.0,4121.0,4121.0,4253.0,4253.0
35,CA-604,1948.0,1603.0,2150.0,1580.0,1330.0,885.0,810.0,1067.0,954.0,992.0,1152.0,1352.0,1439.0,1499.0,1499.0,1537.0,1537.0
36,CA-606,3447.0,3296.0,603.0,2034.0,1894.0,1873.0,1863.0,2250.0,2345.0,2738.0,2847.0,3170.0,3164.0,3909.0,3909.0,3829.0,3829.0
37,CA-607,556.0,512.0,171.0,527.0,542.0,677.0,575.0,530.0,632.0,666.0,772.0,904.0,1216.0,1137.0,1144.0,983.0,969.0
38,CA-608,3725.0,3316.0,998.0,2884.0,2811.0,2316.0,2406.0,2165.0,2372.0,2945.0,2978.0,6096.0,6203.0,3126.0,3366.0,4508.0,4508.0
39,CA-609,4195.0,3333.0,905.0,3125.0,2607.0,2118.0,1866.0,1887.0,2149.0,2315.0,2321.0,2532.0,2825.0,2026.0,2026.0,6969.0,6969.0
40,CA-611,2441.0,2248.0,949.0,1787.0,1669.0,1308.0,1152.0,1271.0,1417.0,1428.0,1674.0,1926.0,1810.0,1815.0,2193.0,1961.0,1961.0
41,CA-612,195.0,225.0,88.0,169.0,243.0,260.0,168.0,240.0,208.0,292.0,318.0,299.0,412.0,428.0,306.0,296.0,296.0
42,CA-613,1303.0,1057.0,140.0,1527.0,1413.0,1493.0,1154.0,380.0,554.0,298.0,252.0,239.0,508.0,505.0,505.0,393.0,342.0
43,CA-614,1532.0,1448.0,297.0,1423.0,1483.0,1095.0,1125.0,1368.0,1515.0,2366.0,2357.0,2129.0,2129.0,3829.0,3829.0,850.0,2408.0
