DATE,CASTHPI
2007-01-01,608.2850000000000000
2008-01-01,486.7400000000000000
2009-01-01,421.2925000000000000
2010-01-01,408.6300000000000000
2011-01-01,387.3250000000000000
2012-01-01,388.3900000000000000
2013-01-01,435.8875000000000000
2014-01-01,487.8550000000000000
2015-01-01,522.4900000000000000
2016-01-01,559.4450000000000000
2017-01-01,596.0400000000000000
2018-01-01,634.7450000000000000
2019-01-01,655.2700000000000000
2020-01-01,683.0900000000000000
2021-01-01,779.1450000000000000
2022-01-01,900.0000000000000000
2023-01-01,915.8100000000000000
